2026-04-21:20:04:24 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:04:24.747805+00:00", "event": "中危_operation", "request_id": "7a22b8f9-03f1-4b62-87b9-58eef2239102", "risk_level": "中危", "operation": "sendRedfish:unknown:unknown:unknown", "reason": "Redfish  操作风险未知，默认为中危", "user": "s10643", "action": "logged_and_proceed"}
2026-04-21:20:04:24 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:04:24.748804+00:00", "request_id": "8424ef50-12f6-4722-9a19-ea8a43e9327a", "tool_name": "sendRedfish", "user": "s10643", "event": "request_start", "parameters": {}}
2026-04-21:20:04:24 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:04:24.766811+00:00", "request_id": "8424ef50-12f6-4722-9a19-ea8a43e9327a", "tool_name": "sendRedfish", "user": "s10643", "event": "request_end", "duration_ms": 18, "status": "success", "result": "{\n  \"status_code\": 200,\n  \"headers\": {\n    \"Content-Type\": \"application/json\"\n  },\n  \"body\": \"{\\n  \\\"debug\\\": true,\\n  \\\"message\\\": \\\"调试模式：请求已接收，未实际转发到设备\\\",\\n  \\\"request_info\\\": {\\n    \\\"method\\\": \\\"G..."}
2026-04-21:20:06:40 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:06:40.718302+00:00", "event": "中危_operation", "request_id": "9791ceaa-bb69-46ab-b8c3-1542e7704c15", "risk_level": "中危", "operation": "sendRedfish:unknown:unknown:unknown", "reason": "Redfish  操作风险未知，默认为中危", "user": "s10643", "action": "logged_and_proceed"}
2026-04-21:20:06:40 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:06:40.718302+00:00", "request_id": "ba23073a-c9ed-49aa-bbc6-5f43dda95ca4", "tool_name": "sendRedfish", "user": "s10643", "event": "request_start", "parameters": {}}
2026-04-21:20:06:40 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:06:40.735299+00:00", "request_id": "ba23073a-c9ed-49aa-bbc6-5f43dda95ca4", "tool_name": "sendRedfish", "user": "s10643", "event": "request_end", "duration_ms": 16, "status": "success", "result": "{\n  \"status_code\": 200,\n  \"headers\": {\n    \"Content-Type\": \"application/json\"\n  },\n  \"body\": \"{\\n  \\\"debug\\\": true,\\n  \\\"message\\\": \\\"调试模式：请求已接收，未实际转发到设备\\\",\\n  \\\"request_info\\\": {\\n    \\\"method\\\": \\\"G..."}
2026-04-21:20:07:40 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:07:40.650824+00:00", "event": "中危_operation", "request_id": "25c12d76-b30b-4ca0-bba4-925f7af5cb61", "risk_level": "中危", "operation": "sendRedfish:unknown:unknown:unknown", "reason": "Redfish  操作风险未知，默认为中危", "user": "s10643", "action": "logged_and_proceed"}
2026-04-21:20:07:40 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:07:40.651826+00:00", "request_id": "412cbf78-e4ee-41b0-ba2e-d3e4e8c15c06", "tool_name": "sendRedfish", "user": "s10643", "event": "request_start", "parameters": {}}
2026-04-21:20:07:40 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:07:40.794827+00:00", "request_id": "412cbf78-e4ee-41b0-ba2e-d3e4e8c15c06", "tool_name": "sendRedfish", "user": "s10643", "event": "request_end", "duration_ms": 143, "status": "success", "result": "{\n  \"status_code\": 200,\n  \"headers\": {\n    \"Allow\": \"GET\",\n    \"ETag\": \"W/\\\"885b3fd7bba083078e7c09b287a4fdfc\\\"\",\n    \"Pragma\": \"no-cache\",\n    \"Cache-Control\": \"no-Store,no-Cache\",\n    \"Content-Type\":..."}
2026-04-21:20:28:29 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:28:29.314672+00:00", "event": "中危_operation", "request_id": "a641607e-6e95-4393-af16-b4dd3ba16c86", "risk_level": "中危", "operation": "sendIPMI:unknown:unknown:unknown", "reason": "Redfish  操作风险未知，默认为中危", "user": "s10643", "action": "logged_and_proceed"}
2026-04-21:20:28:29 | INFO | mcp_operation | {"timestamp": "2026-04-21T12:28:29.315659+00:00", "request_id": "a7714a2e-e3c5-4256-b47f-b5d6cb2d4832", "tool_name": "sendIPMI", "user": "s10643", "event": "request_start", "parameters": {}}
